Linea;registros;mae;rmse;r2;demanda_media_real;demanda_media_predicha
34;31;2158.61;2866.36;0.9023;27161.03;26236.16
92;17;1951.71;2507.09;-0.8109;6309.88;7832.65
93;25;1227.4;1489.3;0.7391;3833.92;3895.96
21;31;1215.71;1464.1;0.924;17176.26;17338.35
70;31;1120.81;1566.84;0.9702;20689.61;20832.29
49;31;1085.32;1378.03;0.9294;16343.19;16492.58
91;17;1082.53;1441.28;-0.7532;4312.53;5122.35
6;31;1043.26;1420.04;0.7177;12693.45;13449.74
27;31;1036.74;1381.62;0.9629;18388.13;18762.81
38;31;928.55;1490.31;0.8765;13849.26;13817.74
870;15;863.73;1122.84;-3.7629;3782.07;3378.87
133;31;852.32;1100.31;0.9186;10123.87;10489.55
118;31;848.65;948.95;0.861;12966.23;13263.45
361;31;811.52;1085.14;0.1914;8149.0;8767.81
401;31;784.74;957.07;0.5268;9963.68;10567.58
68;31;784.42;1024.61;0.9778;19205.26;19149.48
32;31;757.03;1032.78;0.8577;11160.97;11583.61
147;31;753.65;965.17;0.96;13483.0;13821.68
23;31;753.39;995.88;0.907;14982.42;15117.68
61;31;751.65;1045.11;0.9654;12417.97;12279.23
19;31;739.1;1004.38;0.9662;13033.87;13020.32
31;31;737.32;1134.02;0.9435;15705.68;15900.55
69;31;723.97;985.49;0.9792;19425.26;19310.71
132;31;721.58;944.31;0.9622;11247.81;11404.87
146;31;709.03;917.6;0.7778;9971.48;10366.13
60;31;705.87;925.06;0.9623;14327.48;14126.84
403;31;698.06;851.79;0.9487;10794.42;10852.61
138;31;692.71;938.87;0.9671;15817.23;15867.35
124;31;675.74;861.48;0.9503;10423.45;10429.77
35;31;674.77;949.11;0.9325;15905.87;16018.52
17;31;670.87;831.6;0.9547;14434.65;14471.77
2;31;667.1;923.51;0.8745;9168.39;9293.48
30;31;662.32;877.89;0.9518;11057.29;11024.84
28;31;662.1;902.12;0.9784;17090.39;17021.84
56;31;660.65;900.02;0.9606;9881.16;9819.61
53;31;640.42;815.34;0.9114;8751.87;8895.32
29;31;633.42;774.26;0.9463;8119.42;8064.39
14;31;628.0;824.32;0.9502;8982.48;9114.1
869;15;619.73;819.55;-1.8175;3262.4;2740.8
10;31;610.0;777.41;0.9573;11633.55;11945.29
113;31;607.87;890.86;0.959;14281.87;14433.94
115;31;600.81;945.24;0.9462;7870.35;7669.87
20;31;598.9;769.49;0.9253;10414.74;10643.45
82;31;592.03;865.49;0.9257;5775.35;5688.61
46;31;584.77;773.91;0.9316;6426.81;6457.13
39;31;583.35;730.01;0.8758;7962.26;8028.84
142;31;582.48;742.6;0.9344;7882.77;7896.29
85;31;579.58;741.91;0.9542;12160.42;12220.06
9;31;574.1;769.73;0.9416;10106.68;10383.68
128;31;571.71;729.31;0.9143;11022.23;11096.58
58;31;566.81;705.86;0.9267;7416.71;7396.16
24;31;566.32;735.37;0.9519;11173.68;11156.9
77;31;554.94;740.48;0.9364;10219.39;10212.52
25;31;554.06;760.65;0.9366;10108.13;10109.68
404;31;553.55;676.24;0.9076;6853.77;6929.39
150;31;546.94;745.17;0.9302;7757.87;7927.52
54;31;534.35;685.16;0.9255;8455.39;8510.39
156;31;527.39;712.07;0.7751;4717.9;5094.9
45;31;525.52;706.19;0.9601;9506.97;9673.77
172;20;525.05;629.13;0.1829;3858.85;4192.1
26;31;521.84;751.03;0.8584;6723.97;6857.87
1;31;513.71;635.55;0.8186;5646.13;5833.06
48;31;507.48;716.75;0.9496;7762.81;7728.94
4;31;498.23;750.73;0.9362;7049.03;6937.39
55;31;497.94;613.54;0.9329;8373.39;8479.84
103;31;497.68;652.96;0.9727;9778.0;9592.0
96;20;496.9;636.17;0.565;1877.8;1924.4
78;31;490.77;646.35;0.9336;6595.9;6650.55
158;31;484.19;568.75;0.8693;6164.65;6288.52
65;31;483.26;610.54;0.7854;6723.71;6725.68
22;31;477.23;570.22;0.9263;6305.71;6382.23
143;31;477.0;650.38;0.9656;7837.81;7820.55
