Fecha;Linea;TotalViajeros
2019-01-01;001;2238
2019-01-01;002;3263
2019-01-01;003;2850
2019-01-01;004;2138
2019-01-01;005;1464
2019-01-01;006;5664
2019-01-01;007;722
2019-01-01;008;2164
2019-01-01;009;3259
2019-01-01;010;4100
2019-01-01;011;980
2019-01-01;012;994
2019-01-01;014;1988
2019-01-01;015;1608
2019-01-01;016;1039
2019-01-01;017;4802
2019-01-01;018;2099
2019-01-01;019;2403
2019-01-01;020;4093
2019-01-01;021;4407
2019-01-01;022;1747
2019-01-01;023;5040
2019-01-01;024;2292
2019-01-01;025;3566
2019-01-01;026;2017
2019-01-01;027;5179
2019-01-01;028;4191
2019-01-01;029;1452
2019-01-01;030;2671
2019-01-01;031;5106
2019-01-01;032;5001
2019-01-01;033;726
2019-01-01;034;7549
2019-01-01;035;5808
2019-01-01;036;2225
2019-01-01;037;1598
2019-01-01;038;4041
2019-01-01;039;3749
2019-01-01;040;969
2019-01-01;041;1040
2019-01-01;042;906
2019-01-01;043;1218
2019-01-01;044;2485
2019-01-01;045;2170
2019-01-01;046;1442
2019-01-01;047;2427
2019-01-01;048;2043
2019-01-01;049;3375
2019-01-01;050;1224
2019-01-01;051;1668
2019-01-01;052;1080
2019-01-01;053;2514
2019-01-01;054;2832
2019-01-01;055;3166
2019-01-01;056;2029
2019-01-01;057;1964
2019-01-01;058;2332
2019-01-01;059;1786
2019-01-01;060;2997
2019-01-01;061;2182
2019-01-01;062;1310
2019-01-01;063;1768
2019-01-01;064;1601
2019-01-01;065;2118
2019-01-01;066;2816
2019-01-01;067;1268
2019-01-01;068;5045
2019-01-01;069;5289
2019-01-01;070;4230
2019-01-01;071;1419
2019-01-01;072;938
2019-01-01;073;1179
2019-01-01;074;1873
2019-01-01;075;1430
2019-01-01;076;693
2019-01-01;077;2970
2019-01-01;078;1777
2019-01-01;079;1378
2019-01-01;081;1491
2019-01-01;082;755
2019-01-01;083;1337
2019-01-01;085;2934
2019-01-01;086;1758
2019-01-01;087;597
2019-01-01;100;538
2019-01-01;101;509
2019-01-01;102;2217
2019-01-01;103;1660
2019-01-01;104;665
2019-01-01;105;623
2019-01-01;106;1659
2019-01-01;107;784
2019-01-01;108;578
2019-01-01;109;634
2019-01-01;110;416
2019-01-01;111;1862
2019-01-01;112;517
2019-01-01;113;3433
2019-01-01;114;543
2019-01-01;115;1185
2019-01-01;116;1515
2019-01-01;117;1049
2019-01-01;118;3538
2019-01-01;119;1889
2019-01-01;120;1098
2019-01-01;121;1761
2019-01-01;122;994
2019-01-01;123;1675
2019-01-01;124;2772
2019-01-01;125;554
2019-01-01;126;1620
2019-01-01;127;1809
2019-01-01;128;2970
2019-01-01;129;408
2019-01-01;130;2003
2019-01-01;131;1484
2019-01-01;132;1943
2019-01-01;133;2772
2019-01-01;134;820
2019-01-01;135;607
2019-01-01;136;2224
2019-01-01;137;1065
2019-01-01;138;2677
2019-01-01;139;678
2019-01-01;140;1785
2019-01-01;141;1929
2019-01-01;142;1277
2019-01-01;143;1989
2019-01-01;144;1523
2019-01-01;145;1144
2019-01-01;146;4835
2019-01-01;147;3349
2019-01-01;148;2837
2019-01-01;149;848
2019-01-01;150;2081
2019-01-01;151;549
2019-01-01;152;980
2019-01-01;153;726
2019-01-01;155;1599
2019-01-01;156;1357
2019-01-01;160;711
2019-01-01;161;893
2019-01-01;162;619
2019-01-01;171;367
2019-01-01;173;691
2019-01-01;174;776
2019-01-01;175;315
2019-01-01;176;713
2019-01-01;177;657
2019-01-01;178;600
2019-01-01;200;2697
2019-01-01;203;2288
2019-01-01;210;1397
2019-01-01;215;350
2019-01-01;247;1229
2019-01-01;310;950
2019-01-01;372;497
2019-01-01;401;840
2019-01-01;402;1248
2019-01-01;403;2339
2019-01-01;404;1270
2019-01-01;481;480
2019-01-01;501;137
2019-01-01;502;146
2019-01-01;503;145
2019-01-01;504;211
2019-01-01;505;387
2019-01-01;506;283
2019-01-01;507;202
2019-01-01;508;199
2019-01-01;509;283
2019-01-01;510;220
2019-01-01;511;301
2019-01-01;512;154
2019-01-01;513;317
2019-01-01;514;350
2019-01-01;515;300
2019-01-01;516;416
2019-01-01;517;366
2019-01-01;518;339
2019-01-01;519;322
2019-01-01;520;124
2019-01-01;521;272
2019-01-01;522;266
2019-01-01;523;331
2019-01-01;524;228
2019-01-01;525;321
2019-01-01;526;298
2019-01-01;527;229
2019-01-01;528;21
2019-01-01;661;2607
2019-01-01;702;97
2019-01-01;704;80
2019-01-01;723;99
2019-01-01;730;240
2019-01-01;766;178
2019-01-02;001;7329
2019-01-02;002;10630
2019-01-02;003;7564
2019-01-02;004;6242
2019-01-02;005;5920
2019-01-02;006;14673
2019-01-02;007;3536
2019-01-02;008;7123
2019-01-02;009;12310
2019-01-02;010;12902
2019-01-02;011;4577
2019-01-02;012;3897
2019-01-02;014;11919
2019-01-02;015;4163
2019-01-02;016;4604
2019-01-02;017;14059
2019-01-02;018;5518
2019-01-02;019;13519
2019-01-02;020;12316
2019-01-02;021;19313
2019-01-02;022;5787
2019-01-02;023;15029
2019-01-02;024;8533
2019-01-02;025;12562
2019-01-02;026;7804
2019-01-02;027;23049
2019-01-02;028;17322
2019-01-02;029;8319
2019-01-02;030;13712
2019-01-02;031;17578
2019-01-02;032;15182
2019-01-02;033;1391
2019-01-02;034;23529
2019-01-02;035;17950
2019-01-02;036;4757
2019-01-02;037;5276
2019-01-02;038;15022
2019-01-02;039;11651
2019-01-02;040;4805
2019-01-02;041;2632
2019-01-02;042;4849
2019-01-02;043;6118
2019-01-02;044;7953
2019-01-02;045;9734
2019-01-02;046;6249
2019-01-02;047;8350
2019-01-02;048;7358
2019-01-02;049;13613
2019-01-02;050;3785
2019-01-02;051;4733
2019-01-02;052;4296
2019-01-02;053;10960
2019-01-02;054;7726
2019-01-02;055;8883
2019-01-02;056;9982
2019-01-02;057;5784
2019-01-02;058;7912
2019-01-02;059;3571
2019-01-02;060;11466
2019-01-02;061;11652
2019-01-02;062;5014
2019-01-02;063;8291
2019-01-02;064;5625
2019-01-02;065;6771
2019-01-02;066;8376
2019-01-02;067;5487
2019-01-02;068;18900
2019-01-02;069;18442
2019-01-02;070;19495
2019-01-02;071;5060
2019-01-02;072;3619
2019-01-02;073;4765
2019-01-02;074;4736
2019-01-02;075;3929
2019-01-02;076;2616
2019-01-02;077;10745
2019-01-02;078;5365
2019-01-02;079;3036
2019-01-02;081;3997
2019-01-02;082;3857
2019-01-02;083;5773
2019-01-02;085;11132
2019-01-02;086;4820
2019-01-02;087;3072
2019-01-02;093;273
2019-01-02;096;139
2019-01-02;100;1682
2019-01-02;101;754
2019-01-02;102;8586
2019-01-02;103;7209
2019-01-02;104;4469
2019-01-02;105;2812
2019-01-02;106;6809
2019-01-02;107;2880
2019-01-02;108;1976
2019-01-02;109;2436
2019-01-02;110;889
2019-01-02;111;4381
2019-01-02;112;3233
2019-01-02;113;11221
2019-01-02;114;4551
2019-01-02;115;7605
2019-01-02;116;5514
2019-01-02;117;3366
2019-01-02;118;11795
2019-01-02;119;5177
2019-01-02;120;4918
2019-01-02;121;5733
2019-01-02;122;5191
2019-01-02;123;3474
2019-01-02;124;9827
2019-01-02;125;4285
2019-01-02;126;5858
2019-01-02;127;4679
2019-01-02;128;10565
2019-01-02;129;1643
2019-01-02;130;6169
2019-01-02;131;5030
2019-01-02;132;10136
2019-01-02;133;10524
2019-01-02;134;5256
2019-01-02;135;1893
2019-01-02;136;6000
2019-01-02;137;5800
2019-01-02;138;9869
2019-01-02;139;2778
2019-01-02;140;6681
2019-01-02;141;5928
2019-01-02;142;6961
2019-01-02;143;9727
2019-01-02;144;5885
2019-01-02;145;5658
2019-01-02;146;13187
2019-01-02;147;14122
2019-01-02;148;9105
2019-01-02;149;5096
2019-01-02;150;8718
2019-01-02;151;2340
2019-01-02;152;5669
2019-01-02;153;4429
2019-01-02;155;6752
2019-01-02;156;3432
2019-01-02;160;2369
2019-01-02;161;3452
2019-01-02;162;3215
2019-01-02;165;1526
2019-01-02;171;1710
2019-01-02;172;2214
2019-01-02;173;3758
2019-01-02;174;3820
2019-01-02;175;2258
2019-01-02;176;3940
2019-01-02;177;2020
2019-01-02;178;3355
2019-01-02;200;4374
2019-01-02;203;2871
2019-01-02;210;4928
2019-01-02;215;1163
2019-01-02;247;2209
2019-01-02;310;2773
2019-01-02;401;2406
2019-01-02;402;5499
2019-01-02;403;11629
2019-01-02;404;6266
2019-01-02;451;615
2019-01-02;452;462
2019-01-02;453;1068
2019-01-02;454;1637
2019-01-02;455;1894
2019-01-02;456;548
2019-01-02;457;144
2019-01-02;481;2210
2019-01-02;501;191
2019-01-02;502;252
2019-01-02;503;182
2019-01-02;504;330
2019-01-02;505;498
2019-01-02;506;432
2019-01-02;507;339
2019-01-02;508;339
2019-01-02;509;394
2019-01-02;510;413
2019-01-02;511;442
2019-01-02;512;266
2019-01-02;513;443
2019-01-02;514;473
2019-01-02;515;404
2019-01-02;516;588
2019-01-02;517;525
2019-01-02;518;448
2019-01-02;519;461
2019-01-02;520;177
2019-01-02;521;429
2019-01-02;522;454
2019-01-02;523;434
2019-01-02;524;296
2019-01-02;525;447
2019-01-02;526;349
2019-01-02;527;263
2019-01-02;528;76
2019-01-02;601;762
2019-01-02;602;312
2019-01-02;661;3122
2019-01-02;718;46
2019-01-02;722;575
2019-01-02;723;666
2019-01-02;730;251
2019-01-02;766;229
2019-01-03;001;7325
2019-01-03;002;10925
2019-01-03;003;7696
2019-01-03;004;6423
2019-01-03;005;6231
2019-01-03;006;14509
2019-01-03;007;3587
2019-01-03;008;7822
2019-01-03;009;12370
2019-01-03;010;13556
2019-01-03;011;4981
2019-01-03;012;4282
2019-01-03;014;12594
2019-01-03;015;4688
2019-01-03;016;4840
2019-01-03;017;15235
2019-01-03;018;6114
2019-01-03;019;14649
2019-01-03;020;12593
2019-01-03;021;20478
2019-01-03;022;6657
2019-01-03;023;16006
2019-01-03;024;8928
2019-01-03;025;13113
2019-01-03;026;7361
2019-01-03;027;25185
2019-01-03;028;18078
2019-01-03;029;8514
2019-01-03;030;14330
2019-01-03;031;18106
2019-01-03;032;14396
2019-01-03;033;1415
2019-01-03;034;24431
2019-01-03;035;18186
2019-01-03;036;5235
2019-01-03;037;5467
2019-01-03;038;15310
2019-01-03;039;11724
2019-01-03;040;5315
2019-01-03;041;2865
2019-01-03;042;5214
2019-01-03;043;6567
2019-01-03;044;8399
2019-01-03;045;10650
2019-01-03;046;6416
2019-01-03;047;9368
2019-01-03;048;7532
2019-01-03;049;14248
2019-01-03;050;4047
2019-01-03;051;4709
2019-01-03;052;4186
2019-01-03;053;11526
2019-01-03;054;8254
2019-01-03;055;9713
2019-01-03;056;10850
2019-01-03;057;6291
2019-01-03;058;8225
2019-01-03;059;4041
2019-01-03;060;12519
2019-01-03;061;12866
2019-01-03;062;5349
2019-01-03;063;8953
2019-01-03;064;6194
2019-01-03;065;6888
2019-01-03;066;9210
2019-01-03;067;6073
2019-01-03;068;20318
2019-01-03;069;19332
2019-01-03;070;20807
2019-01-03;071;5413
2019-01-03;072;3892
2019-01-03;073;4835
2019-01-03;074;4922
2019-01-03;075;4138
2019-01-03;076;2654
2019-01-03;077;11190
2019-01-03;078;5899
2019-01-03;079;3393
2019-01-03;081;4581
2019-01-03;082;4069
2019-01-03;083;6192
2019-01-03;085;11499
2019-01-03;086;4922
2019-01-03;087;3357
2019-01-03;093;236
2019-01-03;096;159
2019-01-03;100;2191
2019-01-03;101;757
2019-01-03;102;8976
2019-01-03;103;7850
2019-01-03;104;5001
2019-01-03;105;2988
2019-01-03;106;7975
2019-01-03;107;2933
2019-01-03;108;2000
2019-01-03;109;2520
2019-01-03;110;831
2019-01-03;111;4672
2019-01-03;112;3575
2019-01-03;113;11554
2019-01-03;114;5012
